Event	ID	Name			Wwise Object Path	Notes
	417627684	PlayMusic			\Default Work Unit\PlayMusic	
	3099361103	Woosh			\Default Work Unit\Woosh	
	3343194546	PunchHit			\Default Work Unit\PunchHit	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1446662	Punch1_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Punch3_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Punch1_bpm122_4-4		3470232
	41394345	Whoosh_08	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Whoosh_08_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\Wooshes\Whoosh_08		148330
	50676040	Player_Jump_03	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Player_Jump_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\PLayerGetsHit\Grunt\Player_Jump_03		15096
	77083061	Player_Jump_01	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Player_Jump_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\PLayerGetsHit\Grunt\Player_Jump_01		16614
	155500919	Punch_4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Punch_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\PLayerGetsHit\Punches\Punch_4		154318
	172225201	Bajo1_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Bajo1_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Bajo1_bpm122_4-4		5899344
	189570556	Punch_1	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Punch_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\PLayerGetsHit\Punches\Punch_1		154318
	244077157	Platillo-R_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Platillo-R_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Platillo-R_bpm122_4-4		1735148
	255566645	Whoosh_03	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Whoosh_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\Wooshes\Whoosh_03		146624
	269751541	Coro F_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Coro F_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Coro F_bpm122_4-4		6246360
	270151019	Coro M_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Coro M_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Coro M_bpm122_4-4		6246360
	291554182	Bajo1_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Bajo2_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Bajo1_bpm122_4-4		5899344
	302214336	Whoosh_07	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Whoosh_07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\Wooshes\Whoosh_07		99530
	364026096	Player_Jump_04	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Player_Jump_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\PLayerGetsHit\Grunt\Player_Jump_04		16118
	403921313	Punch_6	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Punch_6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\PLayerGetsHit\Punches\Punch_6		154318
	421549504	Bateria1_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Bateria1_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Bateria1_bpm122_4-4		3470232
	464850709	Player_Jump_02	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Player_Jump_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\PLayerGetsHit\Grunt\Player_Jump_02		15588
	498368685	Bateria3_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Bateria3_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Bateria3_bpm122_4-4		3470232
	518514861	Whoosh_05	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Whoosh_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\Wooshes\Whoosh_05		142784
	566888756	Bajo1_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Bajo3_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Bajo1_bpm122_4-4		5899344
	607188623	Whoosh_04	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Whoosh_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\Wooshes\Whoosh_04		136624
	608763778	Punch_5	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Punch_5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\PLayerGetsHit\Punches\Punch_5		154318
	619943067	Whoosh_06	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Whoosh_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\Wooshes\Whoosh_06		145514
	637457389	Whoosh_09	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Whoosh_09_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\Wooshes\Whoosh_09		113798
	689451830	Platillo-G_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Platillo-G_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Platillo-G_bpm122_4-4		1388132
	717198345	Punch_3	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Punch_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Players\Player_1\PLayerGetsHit\Punches\Punch_3		154318
	741734412	Bateria2_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Bateria2_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Bateria2_bpm122_4-4		3470228
	777791243	Punch1_bpm122_4-4	Y:\Documents\GitHub\Fight Game\.cache\Windows\SFX\Fabrica\Punch4_bpm122_4-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Factory\Fabrica\Punch1_bpm122_4-4		2776200
